Unnamed: 0,bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
338,13,13071,5,3,2,5,22.0,56.0,2020-04-29 09:15:00
339,13,13072,5,0,0,4,31.0,33.0,2020-04-29 09:15:00
340,13,13073,4,0,0,4,23.0,46.0,2020-04-29 09:15:00
341,13,13074,2,0,0,2,19.0,9.0,2020-04-29 09:15:00
342,13,13075,7,2,2,7,74.0,159.0,2020-04-29 09:15:00
343,13,13076,6,0,0,6,41.0,113.0,2020-04-29 09:15:00
344,14,14511,3,7,3,3,43.0,135.0,2020-04-29 09:15:00
345,14,14521,6,8,7,6,40.0,50.0,2020-04-29 09:15:00
346,14,14522,5,2,2,5,33.0,36.0,2020-04-29 09:15:00
347,14,14523,3,2,2,3,28.0,44.0,2020-04-29 09:15:00
348,14,14524,5,11,9,5,36.0,84.0,2020-04-29 09:15:00
349,14,14612,10,8,5,6,60.0,181.0,2020-04-29 09:15:00
350,14,14625,6,0,0,5,27.0,37.0,2020-04-29 09:15:00
351,14,14626,5,1,1,5,20.0,39.0,2020-04-29 09:15:00
352,14,14627,5,4,4,5,52.0,42.0,2020-04-29 09:15:00
353,14,14628,5,27,12,5,39.0,71.0,2020-04-29 09:15:00
354,14,14713,8,5,2,7,163.0,264.0,2020-04-29 09:15:00
355,14,14729,3,0,0,3,20.0,36.0,2020-04-29 09:15:00
356,14,14730,8,0,0,8,30.0,48.0,2020-04-29 09:15:00
357,15,15001,2,1,1,2,32.0,28.0,2020-04-29 09:15:00
358,15,15002,6,9,6,5,90.0,223.0,2020-04-29 09:15:00
359,15,15003,7,3,2,5,61.0,201.0,2020-04-29 09:15:00
360,15,15081,2,0,0,2,11.0,11.0,2020-04-29 09:15:00
361,15,15082,3,0,0,3,33.0,33.0,2020-04-29 09:15:00
362,15,15083,2,4,0,2,21.0,18.0,2020-04-29 09:15:00
363,15,15084,3,1,1,3,32.0,27.0,2020-04-29 09:15:00
364,15,15085,4,3,2,4,28.0,29.0,2020-04-29 09:15:00
365,15,15086,2,1,1,2,13.0,20.0,2020-04-29 09:15:00
366,15,15087,3,0,0,3,23.0,14.0,2020-04-29 09:15:00
367,15,15088,2,1,0,2,11.0,16.0,2020-04-29 09:15:00
